,Files,Phase
0,video01_25,Preparation
1,video01_50,Preparation
2,video01_75,Preparation
3,video01_100,Preparation
4,video01_125,Preparation
5,video01_150,Preparation
6,video01_175,Preparation
7,video01_200,Preparation
8,video01_225,Preparation
9,video01_250,Preparation
10,video01_275,Preparation
11,video01_300,Preparation
12,video01_325,Preparation
13,video01_350,Preparation
14,video01_375,Preparation
15,video01_400,Preparation
16,video01_425,Preparation
17,video01_450,Preparation
18,video01_475,Preparation
19,video01_500,Preparation
20,video01_525,CalotTriangleDissection
21,video01_550,CalotTriangleDissection
22,video01_575,CalotTriangleDissection
23,video01_600,CalotTriangleDissection
24,video01_625,CalotTriangleDissection
25,video01_650,CalotTriangleDissection
26,video01_675,CalotTriangleDissection
27,video01_700,CalotTriangleDissection
28,video01_725,CalotTriangleDissection
29,video01_750,CalotTriangleDissection
30,video01_775,CalotTriangleDissection
31,video01_800,CalotTriangleDissection
32,video01_825,CalotTriangleDissection
33,video01_850,CalotTriangleDissection
34,video01_875,CalotTriangleDissection
35,video01_900,CalotTriangleDissection
36,video01_925,CalotTriangleDissection
37,video01_950,CalotTriangleDissection
38,video01_975,CalotTriangleDissection
39,video01_1000,CalotTriangleDissection
40,video01_1025,CalotTriangleDissection
41,video01_1050,CalotTriangleDissection
42,video01_1075,CalotTriangleDissection
43,video01_1100,CalotTriangleDissection
44,video01_1125,CalotTriangleDissection
45,video01_1150,CalotTriangleDissection
46,video01_1175,CalotTriangleDissection
47,video01_1200,CalotTriangleDissection
48,video01_1225,CalotTriangleDissection
49,video01_1250,CalotTriangleDissection
50,video01_1275,CalotTriangleDissection
51,video01_1300,CalotTriangleDissection
52,video01_1325,CalotTriangleDissection
53,video01_1350,CalotTriangleDissection
54,video01_1375,CalotTriangleDissection
55,video01_1400,CalotTriangleDissection
56,video01_1425,CalotTriangleDissection
57,video01_1450,CalotTriangleDissection
58,video01_1475,CalotTriangleDissection
59,video01_1500,CalotTriangleDissection
60,video01_1525,CalotTriangleDissection
61,video01_1550,CalotTriangleDissection
62,video01_1575,CalotTriangleDissection
63,video01_1600,CalotTriangleDissection
64,video01_1625,CalotTriangleDissection
65,video01_1650,CalotTriangleDissection
66,video01_1675,CalotTriangleDissection
67,video01_1700,CalotTriangleDissection
68,video01_1725,CalotTriangleDissection
69,video01_1750,CalotTriangleDissection
70,video01_1775,CalotTriangleDissection
71,video01_1800,CalotTriangleDissection
72,video01_1825,CalotTriangleDissection
73,video01_1850,CalotTriangleDissection
74,video01_1875,CalotTriangleDissection
75,video01_1900,CalotTriangleDissection
76,video01_1925,CalotTriangleDissection
77,video01_1950,CalotTriangleDissection
78,video01_1975,CalotTriangleDissection
79,video01_2000,CalotTriangleDissection
80,video01_2025,CalotTriangleDissection
81,video01_2050,CalotTriangleDissection
82,video01_2075,CalotTriangleDissection
83,video01_2100,CalotTriangleDissection
84,video01_2125,CalotTriangleDissection
85,video01_2150,CalotTriangleDissection
86,video01_2175,CalotTriangleDissection
87,video01_2200,CalotTriangleDissection
88,video01_2225,CalotTriangleDissection
89,video01_2250,CalotTriangleDissection
90,video01_2275,CalotTriangleDissection
91,video01_2300,CalotTriangleDissection
92,video01_2325,CalotTriangleDissection
93,video01_2350,CalotTriangleDissection
94,video01_2375,CalotTriangleDissection
95,video01_2400,CalotTriangleDissection
96,video01_2425,CalotTriangleDissection
97,video01_2450,CalotTriangleDissection
98,video01_2475,CalotTriangleDissection
99,video01_2500,CalotTriangleDissection
100,video01_2525,CalotTriangleDissection
101,video01_2550,CalotTriangleDissection
102,video01_2575,CalotTriangleDissection
103,video01_2600,CalotTriangleDissection
104,video01_2625,CalotTriangleDissection
105,video01_2650,CalotTriangleDissection
106,video01_2675,CalotTriangleDissection
107,video01_2700,CalotTriangleDissection
108,video01_2725,CalotTriangleDissection
109,video01_2750,CalotTriangleDissection
110,video01_2775,CalotTriangleDissection
111,video01_2800,CalotTriangleDissection
112,video01_2825,CalotTriangleDissection
113,video01_2850,CalotTriangleDissection
114,video01_2875,CalotTriangleDissection
115,video01_2900,CalotTriangleDissection
116,video01_2925,CalotTriangleDissection
117,video01_2950,CalotTriangleDissection
118,video01_2975,CalotTriangleDissection
119,video01_3000,CalotTriangleDissection
120,video01_3025,CalotTriangleDissection
121,video01_3050,CalotTriangleDissection
122,video01_3075,CalotTriangleDissection
123,video01_3100,CalotTriangleDissection
124,video01_3125,CalotTriangleDissection
125,video01_3150,CalotTriangleDissection
126,video01_3175,CalotTriangleDissection
127,video01_3200,CalotTriangleDissection
128,video01_3225,CalotTriangleDissection
129,video01_3250,CalotTriangleDissection
130,video01_3275,CalotTriangleDissection
131,video01_3300,CalotTriangleDissection
132,video01_3325,CalotTriangleDissection
133,video01_3350,CalotTriangleDissection
134,video01_3375,CalotTriangleDissection
135,video01_3400,CalotTriangleDissection
136,video01_3425,CalotTriangleDissection
137,video01_3450,CalotTriangleDissection
138,video01_3475,CalotTriangleDissection
139,video01_3500,CalotTriangleDissection
140,video01_3525,CalotTriangleDissection
141,video01_3550,CalotTriangleDissection
142,video01_3575,CalotTriangleDissection
143,video01_3600,CalotTriangleDissection
144,video01_3625,CalotTriangleDissection
145,video01_3650,CalotTriangleDissection
146,video01_3675,CalotTriangleDissection
147,video01_3700,CalotTriangleDissection
148,video01_3725,CalotTriangleDissection
149,video01_3750,CalotTriangleDissection
150,video01_3775,CalotTriangleDissection
151,video01_3800,CalotTriangleDissection
152,video01_3825,CalotTriangleDissection
153,video01_3850,CalotTriangleDissection
154,video01_3875,CalotTriangleDissection
155,video01_3900,CalotTriangleDissection
156,video01_3925,CalotTriangleDissection
157,video01_3950,CalotTriangleDissection
158,video01_3975,CalotTriangleDissection
159,video01_4000,CalotTriangleDissection
160,video01_4025,CalotTriangleDissection
161,video01_4050,CalotTriangleDissection
162,video01_4075,CalotTriangleDissection
163,video01_4100,CalotTriangleDissection
164,video01_4125,CalotTriangleDissection
165,video01_4150,CalotTriangleDissection
166,video01_4175,CalotTriangleDissection
167,video01_4200,CalotTriangleDissection
168,video01_4225,CalotTriangleDissection
169,video01_4250,CalotTriangleDissection
170,video01_4275,CalotTriangleDissection
171,video01_4300,CalotTriangleDissection
172,video01_4325,CalotTriangleDissection
173,video01_4350,CalotTriangleDissection
174,video01_4375,CalotTriangleDissection
175,video01_4400,CalotTriangleDissection
176,video01_4425,CalotTriangleDissection
177,video01_4450,CalotTriangleDissection
178,video01_4475,CalotTriangleDissection
179,video01_4500,CalotTriangleDissection
180,video01_4525,CalotTriangleDissection
181,video01_4550,CalotTriangleDissection
182,video01_4575,CalotTriangleDissection
183,video01_4600,CalotTriangleDissection
184,video01_4625,CalotTriangleDissection
185,video01_4650,CalotTriangleDissection
186,video01_4675,CalotTriangleDissection
187,video01_4700,CalotTriangleDissection
188,video01_4725,CalotTriangleDissection
189,video01_4750,CalotTriangleDissection
190,video01_4775,CalotTriangleDissection
191,video01_4800,CalotTriangleDissection
192,video01_4825,CalotTriangleDissection
193,video01_4850,CalotTriangleDissection
194,video01_4875,CalotTriangleDissection
195,video01_4900,CalotTriangleDissection
196,video01_4925,CalotTriangleDissection
197,video01_4950,CalotTriangleDissection
198,video01_4975,CalotTriangleDissection
199,video01_5000,CalotTriangleDissection
200,video01_5025,CalotTriangleDissection
201,video01_5050,CalotTriangleDissection
202,video01_5075,CalotTriangleDissection
203,video01_5100,CalotTriangleDissection
204,video01_5125,CalotTriangleDissection
205,video01_5150,CalotTriangleDissection
206,video01_5175,CalotTriangleDissection
207,video01_5200,CalotTriangleDissection
208,video01_5225,CalotTriangleDissection
209,video01_5250,CalotTriangleDissection
210,video01_5275,CalotTriangleDissection
211,video01_5300,CalotTriangleDissection
212,video01_5325,CalotTriangleDissection
213,video01_5350,CalotTriangleDissection
214,video01_5375,CalotTriangleDissection
215,video01_5400,CalotTriangleDissection
216,video01_5425,CalotTriangleDissection
217,video01_5450,CalotTriangleDissection
218,video01_5475,CalotTriangleDissection
219,video01_5500,CalotTriangleDissection
220,video01_5525,CalotTriangleDissection
221,video01_5550,CalotTriangleDissection
222,video01_5575,CalotTriangleDissection
223,video01_5600,CalotTriangleDissection
224,video01_5625,CalotTriangleDissection
225,video01_5650,CalotTriangleDissection
226,video01_5675,CalotTriangleDissection
227,video01_5700,CalotTriangleDissection
228,video01_5725,CalotTriangleDissection
229,video01_5750,CalotTriangleDissection
230,video01_5775,CalotTriangleDissection
231,video01_5800,CalotTriangleDissection
232,video01_5825,CalotTriangleDissection
233,video01_5850,CalotTriangleDissection
234,video01_5875,CalotTriangleDissection
235,video01_5900,CalotTriangleDissection
236,video01_5925,CalotTriangleDissection
237,video01_5950,CalotTriangleDissection
238,video01_5975,CalotTriangleDissection
239,video01_6000,CalotTriangleDissection
240,video01_6025,CalotTriangleDissection
241,video01_6050,CalotTriangleDissection
242,video01_6075,CalotTriangleDissection
243,video01_6100,CalotTriangleDissection
244,video01_6125,CalotTriangleDissection
245,video01_6150,CalotTriangleDissection
246,video01_6175,CalotTriangleDissection
247,video01_6200,CalotTriangleDissection
248,video01_6225,CalotTriangleDissection
249,video01_6250,CalotTriangleDissection
250,video01_6275,CalotTriangleDissection
251,video01_6300,CalotTriangleDissection
252,video01_6325,CalotTriangleDissection
253,video01_6350,CalotTriangleDissection
254,video01_6375,CalotTriangleDissection
255,video01_6400,CalotTriangleDissection
256,video01_6425,CalotTriangleDissection
257,video01_6450,CalotTriangleDissection
258,video01_6475,CalotTriangleDissection
259,video01_6500,CalotTriangleDissection
260,video01_6525,CalotTriangleDissection
261,video01_6550,CalotTriangleDissection
262,video01_6575,CalotTriangleDissection
263,video01_6600,CalotTriangleDissection
264,video01_6625,CalotTriangleDissection
265,video01_6650,CalotTriangleDissection
266,video01_6675,CalotTriangleDissection
267,video01_6700,CalotTriangleDissection
268,video01_6725,CalotTriangleDissection
269,video01_6750,CalotTriangleDissection
270,video01_6775,CalotTriangleDissection
271,video01_6800,CalotTriangleDissection
272,video01_6825,CalotTriangleDissection
273,video01_6850,CalotTriangleDissection
274,video01_6875,CalotTriangleDissection
275,video01_6900,CalotTriangleDissection
276,video01_6925,CalotTriangleDissection
277,video01_6950,CalotTriangleDissection
278,video01_6975,CalotTriangleDissection
279,video01_7000,CalotTriangleDissection
280,video01_7025,CalotTriangleDissection
281,video01_7050,CalotTriangleDissection
282,video01_7075,CalotTriangleDissection
283,video01_7100,CalotTriangleDissection
284,video01_7125,CalotTriangleDissection
285,video01_7150,CalotTriangleDissection
286,video01_7175,CalotTriangleDissection
287,video01_7200,CalotTriangleDissection
288,video01_7225,CalotTriangleDissection
289,video01_7250,CalotTriangleDissection
290,video01_7275,CalotTriangleDissection
291,video01_7300,CalotTriangleDissection
292,video01_7325,CalotTriangleDissection
293,video01_7350,CalotTriangleDissection
294,video01_7375,CalotTriangleDissection
295,video01_7400,CalotTriangleDissection
296,video01_7425,CalotTriangleDissection
297,video01_7450,CalotTriangleDissection
298,video01_7475,CalotTriangleDissection
299,video01_7500,CalotTriangleDissection
300,video01_7525,CalotTriangleDissection
301,video01_7550,CalotTriangleDissection
302,video01_7575,CalotTriangleDissection
303,video01_7600,CalotTriangleDissection
304,video01_7625,CalotTriangleDissection
305,video01_7650,CalotTriangleDissection
306,video01_7675,CalotTriangleDissection
307,video01_7700,CalotTriangleDissection
308,video01_7725,CalotTriangleDissection
309,video01_7750,CalotTriangleDissection
310,video01_7775,CalotTriangleDissection
311,video01_7800,CalotTriangleDissection
